VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
2561,EDRINGTON AMERICAS,1634,The Famous Grouse,20.73,29.99,1750,15031,311592.63,14614,444949.86,224519.45,26854.42,9654.5,133357.23,29.97129,0.972257335,1.427985829
12546,JIM BEAM BRANDS COMPANY,3444,Hornitos Plata Tequila,29.13,39.99,1750,10636,309826.68,10362,375689.38,242129.64,19042.86,123880.97,65862.7,17.53116,0.974238436,1.212579175
17035,PERNOD RICARD USA,2426,The Glenlivet 15Yr FrenchOak,41.59,51.99,750,7445,309637.55,7445,413475.55,252067.74,5866.5,123780.22,103838,25.11346,1,1.335353383
1392,CONSTELLATION BRANDS INC,32915,Kim Crawford Svgn Bl Marlbro,9.99,14.99,750,30842,308111.58,30869,472099.31,126472.2,3459.25,79528.99,163987.73,34.73585,1.00087543,1.532234881
4425,MARTIGNETTI COMPANIES,35412,Yellow Tail Chard Ausl,5.97,9.99,1500,51294,306225.18,50797,491916.09,117789.6,11409.35,144929.24,185690.91,37.74849,0.990310758,1.60638681
3960,DIAGEO NORTH AMERICA INC,3840,Smirnoff Raspberry Vodka,14.39,22.99,1750,21076,303283.64,21167,438524.33,224450.25,38894.1,257032.07,135240.69,30.83995,1.004317707,1.445921481
9552,M S WALKER INC,3769,Jenkins Vodka,7.02,9.49,1750,42549,298693.98,42105,394134.45,134715.91,77358.39,55551.82,95440.47,24.21521,0.989564972,1.319525924
8673,STE MICHELLE WINE ESTATES,8815,Ch Ste Michelle Chard Colmbi,6.07,8.99,750,48853,296537.71,48587,431702.35,97686.77,5449.72,15919.7,135164.64,31.30968,0.994555094,1.45580928
3960,DIAGEO NORTH AMERICA INC,3879,Smirnoff 80 Proof Traveler,7.91,12.99,750,37344,295391.04,36604,427609.96,187268.26,28815.44,257032.07,132218.92,30.92045,0.980184233,1.4476064
12546,JIM BEAM BRANDS COMPANY,1375,Jim Beam,11.5,14.49,750,25183,289604.5,26121,402621.29,203013.36,20569.55,123880.97,113016.79,28.07025,1.037247349,1.390245283
