VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
2000,SOUTHERN WINE & SPIRITS NE,20152,La Cote Blanche Mcon V Chard,8.9,13.99,750,1644,14631.6,1618,22540.82,11058.08,180.14,19016.59,7909.22,35.08843,0.984184915,1.540557424
17031,FLAG HILL WINERY & VINEYARD,5641,Flag Hill Raspberry Liqueur,11.1,14.99,375,1318,14629.8,1249,18722.51,15829.44,488.61,1573.31,4092.71,21.85984,0.947647951,1.279751603
10754,PERFECTA WINES,37311,Salmon Run NY Chard,6.89,9.99,750,2123,14627.47,2199,23524.01,12985.83,244.47,28720.52,8896.54,37.81898,1.035798398,1.608207708
9165,ULTRA BEVERAGE COMPANY LLP,15079,Anna de Codorniu Brut Cava,7.74,12.99,750,1889,14620.86,1811,20522.89,9586.64,201.89,68054.7,5902.03,28.75828,0.958708311,1.403671877
4425,MARTIGNETTI COMPANIES,25678,Ch Recougne Brdx Superieur,10.59,15.99,750,1380,14614.2,1104,14122.96,8235.62,122.54,144929.24,-491.24,-3.47831,0.8,0.966386118
3252,E & J GALLO WINERY,6362,Totts Brut Calif,5.29,7.99,750,2759,14595.11,2629,21005.71,5561.04,294.65,61966.91,6410.6,30.51837,0.952881479,1.439229304
480,BACARDI USA INC,40114,M & R Prosecco Frizzante,6.66,13.99,750,2191,14592.06,2210,23843.9,13286.78,245.77,89286.27,9251.84,38.80171,1.008671839,1.634032481
9165,ULTRA BEVERAGE COMPANY LLP,3417,Six Saints Caribbean Rum,19.83,24.99,750,735,14575.05,710,14462.9,11324.49,559.98,68054.7,-112.15,-0.77543,0.965986395,0.992305344
9552,M S WALKER INC,41065,Martin Ray Chard RRV,11.18,16.99,750,1303,14567.54,1245,21644.55,11049.64,138.59,55551.82,7077.01,32.69650,0.955487337,1.485806801
12546,JIM BEAM BRANDS COMPANY,3581,Pinnacle Citrus,0.74,0.99,50,19681,14563.94,9188,9096.12,3507.57,475.73,123880.97,-5467.82,-60.11156,0.466846197,0.624564507
2000,SOUTHERN WINE & SPIRITS NE,19126,Delas Cotes du Rhone,8.44,12.99,750,1724,14550.56,1666,21808.34,13690.55,184.77,19016.59,7257.78,33.27984,0.966357309,1.498797297
4425,MARTIGNETTI COMPANIES,19282,Penfolds Bin 8 Cab Svgn/Shir,13.51,19.99,750,1076,14536.76,1124,22997.96,14177.31,124.66,144929.24,8461.2,36.79109,1.044609665,1.582055424
1128,BROWN-FORMAN CORP,1801,Jack Daniels Tennesse Fire,9.62,12.99,375,1511,14535.82,104,1350.96,740.43,40.81,68601.68,-13184.86,-975.96228,0.06882859,0.092940061
3252,E & J GALLO WINERY,28312,Gallo Copperidge Merlot Cal,4.72,6.99,1500,3078,14528.16,3101,21675.99,3739.65,697.45,61966.91,7147.83,32.97579,1.007472385,1.491998298
7153,PINE STATE TRADING CO,26431,Harken Chard,8.78,12.99,750,1654,14522.12,1219,16233.81,7470.41,135.88,15884.82,1711.69,10.54398,0.737001209,1.117867777
4425,MARTIGNETTI COMPANIES,43685,Babich Svgn Bl Marlboro,9.58,13.99,750,1512,14484.96,1458,20320.42,9833.97,162.47,144929.24,5835.46,28.71722,0.964285714,1.402863384
17035,PERNOD RICARD USA,5395,Kahlua Chili Chocolate,15.19,18.99,750,953,14476.07,568,10622.32,8786.3,448.01,123780.22,-3853.75,-36.27974,0.596012592,0.733784791
90059,BLACK COVE BEVERAGES,5338,Morecello Blackberry Cello,15.74,19.99,375,919,14465.06,313,6256.87,3398.3,122.87,74.84,-8208.19,-131.18684,0.340587595,0.432550574
9165,ULTRA BEVERAGE COMPANY LLP,4256,English Harbour Rum,22.38,29.99,750,646,14457.48,363,10000.37,8840.79,286.4,68054.7,-4457.11,-44.56945,0.561919505,0.691709067
9165,ULTRA BEVERAGE COMPANY LLP,19549,Opici White Sangria,8.66,12.99,3000,1669,14453.54,1608,21567.92,15665.36,723.6,68054.7,7114.38,32.98593,0.963451168,1.49222405
7245,PROXIMO SPIRITS INC.,3765,Three Olives Citrus Vodka,9.37,12.99,750,1539,14420.43,1064,13261.36,10002.98,838.82,38994.78,-1159.07,-8.74020,0.691358025,0.919623063
9815,WINE GROUP INC,23522,13 Celsius Svgn Bl,4.11,14.99,750,3506,14409.66,3137,34041.23,16095.55,349.55,27100.41,19631.57,57.66998,0.894751854,2.362389536
9815,WINE GROUP INC,24253,Franzia Dark Red Blend,12.16,17.99,5000,1185,14409.6,1026,18073.74,14417.82,769.5,27100.41,3664.14,20.27328,0.865822785,1.254284644
4425,MARTIGNETTI COMPANIES,19036,Nicholson Ranch Est Chard,9.67,14.99,750,1490,14408.3,2641,39588.59,16054.29,294.76,144929.24,25180.29,63.60492,1.772483221,2.747623939
2000,SOUTHERN WINE & SPIRITS NE,17119,Zaccagnini Cerasuolo Rose,10.66,15.99,750,1351,14401.66,1390,22487.1,13164.89,154.34,19016.59,8085.44,35.95590,1.028867506,1.561424169
11567,CAMPARI AMERICA,2942,Glen Grant 10 Yr Single Malt,27.12,39.99,750,531,14400.72,591,21542.09,17390.24,466.09,20964.81,7141.37,33.15078,1.11299435,1.495903677
1392,CONSTELLATION BRANDS INC,13731,Monkey Bay Svgn Bl,11.61,17.99,1500,1240,14396.4,1279,23793.21,15127.9,285.29,79528.99,9396.81,39.49366,1.031451613,1.65271943
9552,M S WALKER INC,2764,Hatfield & McCoy Whiskey,23.99,29.99,750,600,14394,39,1195.61,1103.64,30.78,55551.82,-13198.39,-1103.90428,0.065,0.083063082
3252,E & J GALLO WINERY,10422,Mirassou Pnt Grigio Cal,6.07,8.99,750,2370,14385.9,2369,23666.31,14725.26,262.74,61966.91,9280.41,39.21359,0.999578059,1.645104582
7245,PROXIMO SPIRITS INC.,2174,Virginia Black Whiskey,27.34,34.99,750,526,14380.84,109,3813.91,3184.09,85.99,38994.78,-10566.93,-277.06291,0.207224335,0.265207735
8664,"STOLI GROUP,(USA) LLC",4884,Bayou Silver Rum,15.5,19.99,750,927,14368.5,353,5724.47,4896.98,278.51,18544.49,-8644.03,-151.00140,0.380798274,0.398404148
10754,PERFECTA WINES,27290,Ch Pape Clement Pess-Leo 13,85.52,129.99,750,168,14367.36,8,1039.92,649.95,0.89,28720.52,-13327.44,-1281.58320,0.047619048,0.07238073
9552,M S WALKER INC,253,Poland Spring Vodka,4.6,5.79,1000,3122,14361.2,3142,18192.18,3091.86,3299.1,55551.82,3830.98,21.05839,1.00640615,1.266759045
17031,FLAG HILL WINERY & VINEYARD,3629,Flag Hill White Rum,20.63,25.99,750,696,14358.48,810,21297.9,17304.42,639.1,1573.31,6939.42,32.58265,1.163793103,1.483297675
10754,PERFECTA WINES,35989,Ch Haut Brion 10,844.15,1664.99,750,17,14350.55,23,29899.77,6499.95,2.58,28720.52,15549.22,52.00448,1.352941176,2.083527809
10754,PERFECTA WINES,13637,Charles Smith Eve WA Chard,8.16,11.99,750,1756,14328.96,1728,21030.72,8746.8,192.75,28720.52,6701.76,31.86653,0.98405467,1.467707356
653,STATE WINE & SPIRITS,17200,Leese-Fitch Pnt Nr,8.78,12.99,750,1631,14320.18,1245,13243.55,5899.43,138.84,8014.98,-1076.63,-8.12947,0.763335377,0.924817286
4425,MARTIGNETTI COMPANIES,12116,Lindemans Bin 85 Pnt Grigio,7.74,11.99,1500,1847,14295.78,1796,19779.2,11373.25,401.07,144929.24,5483.42,27.72316,0.972387656,1.383569137
9552,M S WALKER INC,23355,Paul Dolan 12 Cab Svgn,9.6,14.49,750,1486,14265.6,2620,39273.8,12576.61,293.26,55551.82,25008.2,63.67655,1.763122476,2.753042284
4425,MARTIGNETTI COMPANIES,27886,Roth Estate Pinot Noir,10.06,14.99,750,1416,14244.96,77,1154.23,374.75,8.62,144929.24,-13090.73,-1134.15264,0.054378531,0.081027255
3924,HEAVEN HILL DISTILLERIES,3321,Rosita Tequila Gold,6.93,9.29,1000,2055,14241.15,2058,19118.82,6967.5,2160.9,14069.87,4877.67,25.51240,1.001459854,1.342505345
9819,TREASURY WINE ESTATES,31202,Beringer Fndrs Est Chard,6.07,8.99,750,2346,14240.22,2459,25581.41,14251.23,273.28,14836.57,11341.19,44.33372,1.048167093,1.796419578
516,BANFI PRODUCTS CORP,18801,Bolla Prosecco Extra Dry,7.14,12.99,750,1993,14230.02,1897,22178.03,13815.19,210.3,8510.41,7948.01,35.83731,0.95183141,1.558538217
2000,SOUTHERN WINE & SPIRITS NE,45266,XYZin Old Vines Znfdl,6.53,12.99,750,2179,14228.87,1962,22419.38,15661.44,217.06,19016.59,8190.51,36.53317,0.900413034,1.575626174
3664,WILLIAM GRANT & SONS INC,5339,Drambuie,2.35,3.29,50,6046,14208.1,4608,14818.32,8422.06,234.98,30234.42,610.22,4.11801,0.762156798,1.042948741
3664,WILLIAM GRANT & SONS INC,2535,Glenfiddich 21 Year Old,140.62,179.99,750,101,14202.62,110,19798.9,18178.99,86.83,30234.42,5596.28,28.26561,1.089108911,1.394031524
17031,FLAG HILL WINERY & VINEYARD,39491,Flag Hill Red Raspberry Fru,8.1,13.99,750,1751,14183.1,1761,24636.39,19222.26,194.49,1573.31,10453.29,42.43028,1.005711022,1.737024346
516,BANFI PRODUCTS CORP,25984,C Y Toro Casa Diablo Svgn Bl,5.88,8.99,750,2412,14182.56,2291,21481.09,11383.89,254.91,8510.41,7298.53,33.97653,0.949834163,1.514613018
90058,ZORVINO VINEYARDS,22297,Zorvino Vyds Pearz,6.75,9.99,750,2101,14181.75,2065,20629.35,15734.25,228.12,448.68,6447.6,31.25450,0.982865302,1.454640647
12546,JIM BEAM BRANDS COMPANY,2940,Hakushu 12 Yr Japanese Whsky,65.64,85.99,750,216,14178.24,220,19545.8,14234.4,173.38,123880.97,5367.56,27.46145,1.018518519,1.378577313
10754,PERFECTA WINES,43553,La Puerta La Rioja Malbec,6.03,8.99,750,2348,14158.44,2446,21989.54,7920.19,273.35,28720.52,7831.1,35.61284,1.041737649,1.553104721
4425,MARTIGNETTI COMPANIES,13504,New Age Valentin Bianchi Whi,7.28,10.99,750,1944,14152.32,1747,11894.53,3120.62,195.85,144929.24,-2257.79,-18.98175,0.898662551,0.840465026
17035,PERNOD RICARD USA,21151,Flight Song Svgn Bl,6.57,13.99,750,2154,14151.78,2144,24432.56,10189.04,239.18,123780.22,10280.78,42.07819,0.995357474,1.726465505
4425,MARTIGNETTI COMPANIES,36268,Montinore Pnt Nr Ore,11.84,19.99,750,1195,14148.8,1203,21345.97,12532.94,133.57,144929.24,7197.17,33.71676,1.006694561,1.508677061
1392,CONSTELLATION BRANDS INC,15911,Primal Roots Red Cal,5.91,8.99,750,2394,14148.54,2292,21219.08,12095.97,254.65,79528.99,7070.54,33.32161,0.957393484,1.499736369
9552,M S WALKER INC,16203,Simple Life Pnt Nr,6.89,9.99,750,2051,14131.39,2017,15751.23,4010.52,226.21,55551.82,1619.84,10.28390,0.983422721,1.114627082
3252,E & J GALLO WINERY,15550,Talbott Pnt Nr Santa Lucia,19.2,28.99,750,736,14131.2,723,21229.77,12317.78,80.37,61966.91,7098.57,33.43687,0.982336957,1.502333135
90032,LABELLE VYDS AND WINERY,14381,LaBelle Winery Riesling,10.52,15.99,750,1343,14128.36,1291,20643.09,15158.52,142.83,778.25,6514.73,31.55889,0.961280715,1.461110136
9819,TREASURY WINE ESTATES,42884,Beringer Cab Svgn Pvt RSV Np,72.36,109.99,750,195,14110.2,103,15448.97,5849.61,11.54,14836.57,1338.77,8.66576,0.528205128,1.094879591
516,BANFI PRODUCTS CORP,22192,Placido Chianti,7.23,12.99,1500,1951,14105.73,1878,21919.22,11546.1,419.55,8510.41,7813.49,35.64675,0.962583291,1.553923122
90024,VINILANDIA USA,46297,Intorcia Marsala Dry,7.74,11.99,1000,1822,14102.28,1758,21078.42,8716.73,263.7,2802.64,6976.14,33.09612,0.964873765,1.494681711
8673,STE MICHELLE WINE ESTATES,18380,Antinori Tenuta Marchese,24.48,36.99,750,576,14100.48,552,21272.48,13663.45,61.1,15919.7,7172,33.71492,0.958333333,1.508635167
3252,E & J GALLO WINERY,15332,Whitehaven Svgn Bl,8.55,12.49,750,1647,14081.85,1655,20670.95,2735.31,186.44,61966.91,6589.1,31.87614,1.004857316,1.467914372
1392,CONSTELLATION BRANDS INC,15917,Simply Naked Chard,4.66,6.99,750,3020,14073.2,2936,21846.64,12053.94,326.39,79528.99,7773.44,35.58186,0.97218543,1.552357673
90010,VINEXTRA INC,17296,Monte Velho Tinto Alentejo R,7.14,10.99,750,1970,14065.8,1954,21474.46,13495.72,216.56,524.94,7408.66,34.49987,0.991878173,1.526714442
8352,LUXCO INC,2057,Rebel Yell Root Beer Bourbon,0.77,0.99,50,18240,14044.8,13189,13057.11,3934.26,686.26,10261.6,-987.69,-7.56438,0.72308114,0.929675752
7153,PINE STATE TRADING CO,11423,Ch Julien Merlot Mont Cnty,6.66,11.99,750,2108,14039.28,1780,12590.2,3878.95,199.46,15884.82,-1449.08,-11.50959,0.844402277,0.896783881
9815,WINE GROUP INC,23521,Insurrection Cab/Shiraz,7.43,14.99,750,1889,14035.27,2266,24996.34,14174.16,251.81,27100.41,10961.07,43.85070,1.199576496,1.780966095
9815,WINE GROUP INC,25901,Cupcake Prosecco,6.45,9.99,187,2176,14035.2,1737,17352.63,9470.52,50.23,27100.41,3317.43,19.11774,0.798253676,1.236364997
3252,E & J GALLO WINERY,8077,Sheffield Very Dry Sherry,6.84,9.99,1500,2051,14028.84,2052,20499.48,13556.43,456.92,61966.91,6470.64,31.56490,1.000487567,1.46123842
6213,MHW LTD,860,Bols Orange Curacao,8.79,10.99,1000,1595,14020.05,1564,17188.36,2439.78,1642.2,9621.58,3168.31,18.43288,0.980564263,1.225984215
7239,REMY COINTREAU USA INC,4897,Remy Martin VSOP Cognac,3.28,4.49,50,4273,14015.44,3658,16424.42,9707.38,186.41,16978.67,2408.98,14.66706,0.856073017,1.17188044
7245,PROXIMO SPIRITS INC.,4391,Matusalem Gran Reserva Rum,18.1,29.99,750,774,14009.4,766,20711.34,15872.19,603.9,38994.78,6701.94,32.35879,0.989664083,1.478388796
9552,M S WALKER INC,24560,Dom La Fage Tessellae CdRous,8.6,12.99,750,1629,14009.4,1371,15565.29,7852.07,152.63,55551.82,1555.89,9.99589,0.841620626,1.111060431
8892,TRINCHERO FAMILY ESTATES,16469,Menage a Trois Moscato,4.79,7.99,750,2924,14005.96,2930,21983.7,13412.24,325.17,11595.97,7977.74,36.28934,1.002051984,1.569596086
9165,ULTRA BEVERAGE COMPANY LLP,2029,Springbank 10 Yr Scotch,51.1,68.99,750,274,14001.4,311,21930.89,18998.31,245.46,68054.7,7929.49,36.15672,1.135036496,1.566335509
4425,MARTIGNETTI COMPANIES,37126,Girard Chard RRV,12.07,19.99,750,1160,14001.2,1140,21936.6,12841.33,126.51,144929.24,7935.4,36.17425,0.982758621,1.566765706
4425,MARTIGNETTI COMPANIES,13558,Merry Edwards Pinot Noir RRV,32.67,49.99,750,428,13982.76,356,19355.44,11607.86,39.5,144929.24,5372.68,27.75798,0.831775701,1.384236016
660,SAZERAC NORTH AMERICA INC.,756,Barton Long Island Iced Tea,5.34,6.99,1000,2616,13969.44,2593,18125.07,7220.67,2722.65,17932.33,4155.63,22.92753,0.991207951,1.297480071
1392,CONSTELLATION BRANDS INC,34219,Simi Merlot,11.18,16.99,750,1249,13963.82,1048,18060.52,10616.82,116.33,79528.99,4096.7,22.68318,0.839071257,1.293379605
4425,MARTIGNETTI COMPANIES,25729,Chappellet Mt Cuvee Napa,19.35,29.99,750,721,13951.35,592,17754.08,9146.95,65.84,144929.24,3802.73,21.41891,0.821081831,1.272570755
9165,ULTRA BEVERAGE COMPANY LLP,8965,St George Absinthe Verte,39.85,54.99,750,350,13947.5,342,18931.58,16597,269.88,68054.7,4984.08,26.32680,0.977142857,1.357345761
6785,PALM BAY INTERNATIONAL INC,13766,Yealands Svgn Bl Marlborough,8.21,12.99,750,1698,13940.58,1615,20068.85,10978.19,179.62,13605.41,6128.27,30.53623,0.951118963,1.439599357
6785,PALM BAY INTERNATIONAL INC,19283,Roscato Bianco,6.89,9.99,750,2022,13931.58,2000,21191,12792.01,221.96,13605.41,7259.42,34.25709,0.989119683,1.521076576
10754,PERFECTA WINES,15168,Durigutti Malbec Mendoza,9.73,14.99,750,1430,13913.9,1396,21656.04,11721.45,155.24,28720.52,7742.14,35.75049,0.976223776,1.556432057
9552,M S WALKER INC,30656,Steele Pnt Nr,11.64,16.99,750,1194,13898.16,1469,26110.31,13286.51,163.41,55551.82,12212.15,46.77137,1.230318258,1.878688258
17031,FLAG HILL WINERY & VINEYARD,5633,Flag Hill Cranberry Liqueur,11.62,14.99,375,1196,13897.52,1302,19516.98,14240.5,510.13,1573.31,5619.46,28.79267,1.088628763,1.404349841
4692,KOBRAND CORPORATION,24663,M Chiarlo Rovereto Gavi 13,10.95,15.99,750,1269,13895.55,1057,16901.43,8922.42,117.55,9139.38,3005.88,17.78477,0.832939322,1.216319613
2000,SOUTHERN WINE & SPIRITS NE,12270,Wente Louis Mel Svgn Bl,8.72,12.99,750,1593,13890.96,1634,22722.66,13901.97,181.15,19016.59,8831.7,38.86737,1.025737602,1.635787591
9165,ULTRA BEVERAGE COMPANY LLP,8575,The King's Ginger Liqueur,22.72,29.99,750,611,13881.92,367,11006.33,9356.88,289.48,68054.7,-2875.59,-26.12669,0.600654664,0.792853582
9165,ULTRA BEVERAGE COMPANY LLP,7383,BeatBox Blue Razzberry Rtd,14.7,19.99,5000,944,13876.8,794,15872.06,10074.96,4168.5,68054.7,1995.26,12.57090,0.841101695,1.143783869
1590,DIAGEO CHATEAU ESTATE WINES,8246,BV Coastal Estate Pnt Nr,6.12,8.99,750,2266,13867.92,2629,23527.71,12596.94,292.32,7259.75,9659.79,41.05708,1.160194175,1.696556513
10754,PERFECTA WINES,23438,Frost Bitten Ice Rsl,8.55,12.99,375,1620,13851,1472,19365.28,12298.68,84.76,28720.52,5514.28,28.47509,0.908641975,1.398114216
9744,FREDERICK WILDMAN & SONS,19175,Melini Chianti DOCG Riserva,7.38,11.99,750,1875,13837.5,2350,28069.5,16284.29,260.9,3999.93,14232,50.70272,1.253333333,2.028509485
9165,ULTRA BEVERAGE COMPANY LLP,25693,SCV Gold Hills Chard 12,10.99,16.49,750,1259,13836.41,912,15494.88,8087.24,101.53,68054.7,1658.47,10.70334,0.724384432,1.119862739
4425,MARTIGNETTI COMPANIES,14684,Cherry Pie Stanly Pnt Nr,29.6,49.99,750,467,13823.2,398,19036.02,9268.07,44.36,144929.24,5212.82,27.38398,0.852248394,1.377106603
9165,ULTRA BEVERAGE COMPANY LLP,8108,Amaras Cupreata Mezcal,41.98,54.99,750,329,13811.42,117,6303.83,5763.93,92.36,68054.7,-7507.59,-119.09569,0.3556231,0.45642157
6785,PALM BAY INTERNATIONAL INC,34060,Cavit Pinot Grigio Bottega,9.08,13.99,750,1520,13801.6,1538,21852.62,13324.62,170.59,13605.41,8051.02,36.84236,1.011842105,1.583339613
7239,REMY COINTREAU USA INC,5188,Cointreau Noir Liqueur,23.7,36.99,750,582,13793.4,683,22169.17,17859.5,538.75,16978.67,8375.77,37.78116,1.173539519,1.60723027
1392,CONSTELLATION BRANDS INC,6296,Taylor Sherry,5.34,7.79,1500,2582,13787.88,2630,20487.7,14707.52,584.62,79528.99,6699.82,32.70167,1.01859024,1.485920968
2242,DELICATO VINEYARDS INC,39358,Bota Box Shiraz Cal,11.03,17.99,3000,1250,13787.5,1235,22837.65,18957.76,555.75,7982.65,9050.15,39.62820,0.988,1.656402539
1392,CONSTELLATION BRANDS INC,17910,Estancia Unoaked Chard,6.57,9.99,750,2098,13783.86,2134,22060.66,9940.35,237.81,79528.99,8276.8,37.51837,1.017159199,1.600470405
3089,SIDNEY FRANK IMPORTING CO,5094,Jagermeister Liqueur,2.68,3.49,100,5137,13767.16,5373,18751.77,8864.6,559.14,8549.55,4984.61,26.58208,1.045941211,1.362065233
4425,MARTIGNETTI COMPANIES,31847,Saintsbury Carneros Pnt Nr,21.85,32.99,750,630,13765.5,668,22037.32,12008.36,74.22,144929.24,8271.82,37.53551,1.06031746,1.60090952
8673,STE MICHELLE WINE ESTATES,6460,Columbia Crest Two Vns Chard,4.76,6.99,750,2881,13713.56,2956,21678.44,8344.56,329.83,15919.7,7964.88,36.74102,1.026032628,1.580803234
9165,ULTRA BEVERAGE COMPANY LLP,38651,Carpineto Chianti Clsc,10.73,15.99,750,1276,13691.48,1212,19843.88,12865.14,134.27,68054.7,6152.4,31.00402,0.94984326,1.449359748
2000,SOUTHERN WINE & SPIRITS NE,3387,Kinahan's Irish Whiskey,30.76,39.99,750,445,13688.2,238,7667.62,5963.18,187.79,19016.59,-6020.58,-78.51954,0.534831461,0.560162768
7153,PINE STATE TRADING CO,41899,Marietta Old Vine Cve Cal Rd,8.21,12.99,750,1667,13686.07,1449,17838.51,8769.86,161.33,15884.82,4152.44,23.27795,0.869226155,1.30340631
9165,ULTRA BEVERAGE COMPANY LLP,12945,Middle Sister Mischief Maker,6.75,9.99,750,2027,13682.25,2001,20952.99,14762.94,221.55,68054.7,7270.74,34.70025,0.987173162,1.531399441
9815,WINE GROUP INC,31452,Foxhorn SE Cab Svgn Australi,5.15,8.99,1500,2656,13678.4,2644,22218.56,10435.51,591.42,27100.41,8540.16,38.43705,0.995481928,1.624353726
12546,JIM BEAM BRANDS COMPANY,878,DeKuyper Green Creme de Ment,7.46,9.99,1000,1832,13666.72,1858,18561.42,13876.11,1950.9,123880.97,4894.7,26.37029,1.01419214,1.358147383
3252,E & J GALLO WINERY,11153,Canyon Rd Chard,5.99,8.99,1500,2280,13657.2,2228,20029.72,2777.91,501.09,61966.91,6372.52,31.81532,0.977192982,1.466605161
9165,ULTRA BEVERAGE COMPANY LLP,38644,Bigi Orvieto Amabile,6.75,10.99,750,2019,13628.25,2034,21718.66,9178.42,226.8,68054.7,8090.41,37.25096,1.007429421,1.593649955
9165,ULTRA BEVERAGE COMPANY LLP,5359,Distroya Spiced Liqueur,14.28,21.99,750,954,13623.12,1074,20213.26,14842.09,846.91,68054.7,6590.14,32.60305,1.125786164,1.483746748
9165,ULTRA BEVERAGE COMPANY LLP,8284,Suerte Reposado Tequila,31.57,41.99,750,431,13606.67,109,4428.91,4148.98,86.06,68054.7,-9177.76,-207.22390,0.252900232,0.325495511
1392,CONSTELLATION BRANDS INC,46628,Paso Creek Cab Svgn,9.65,13.99,750,1410,13606.5,1374,19984.26,13025.08,152.22,79528.99,6377.76,31.91392,0.974468085,1.468728916
9819,TREASURY WINE ESTATES,32055,Greg Norman Eden Vly Chard,7.89,12.99,750,1723,13594.47,1629,18182.71,8422.73,181.72,14836.57,4588.24,25.23408,0.945443993,1.337507825
3252,E & J GALLO WINERY,35668,Redwood Creek Merlot Cal,7.33,10.99,1500,1854,13589.82,2044,21889.56,12705.14,456.36,61966.91,8299.74,37.91643,1.102481122,1.610732151
4425,MARTIGNETTI COMPANIES,26330,Cristom Pnt Nr Mt Jeffrson C,16.66,31.99,750,815,13577.9,471,12585.29,8126.96,52.19,144929.24,-992.61,-7.88706,0.57791411,0.926895175
2242,DELICATO VINEYARDS INC,15255,Bota Mini Pnt Grigio,2.68,3.99,500,5066,13576.88,4963,19802.37,9272.76,376.52,7982.65,6225.49,31.43811,0.979668377,1.458536129
90047,CRUSH WINES,22625,True Myth Cab,6.19,14.99,750,2191,13562.29,1858,31105.92,14889.34,206.96,1457.73,17543.63,56.39965,0.848014605,2.293559568
9165,ULTRA BEVERAGE COMPANY LLP,17308,Novelty Hill Cab Svgn CV,15.17,21.99,750,893,13546.81,908,19610.92,11962.47,100.75,68054.7,6064.11,30.92211,1.016797312,1.447641179
516,BANFI PRODUCTS CORP,23870,Col-di-Sasso Sangiovese/Cab,6.16,10.99,750,2199,13545.84,2223,20654.77,10391.81,247.38,8510.41,7108.93,34.41786,1.010914052,1.524805402
4425,MARTIGNETTI COMPANIES,24294,La Gr Comtadine Vacqueyras C,12.98,19.99,750,1043,13538.14,952,19030.48,10674.66,105.77,144929.24,5492.34,28.86075,0.912751678,1.40569384
3252,E & J GALLO WINERY,32203,Rancho Zabaco Heritage Znfdl,8.38,12.99,750,1612,13508.56,1589,20794.11,13481.7,176.21,61966.91,7285.55,35.03660,0.98573201,1.539328396
9552,M S WALKER INC,2824,Wolfburn Single Malt Scotch,45.45,59.99,750,297,13498.65,169,9836.31,8374.56,133.33,55551.82,-3662.34,-37.23286,0.569023569,0.728688424
9165,ULTRA BEVERAGE COMPANY LLP,998,Corralejo Blanco Tequila,18.51,24.99,750,729,13493.79,676,17507.24,14502.4,533.13,68054.7,4013.45,22.92452,0.927297668,1.29742941
9552,M S WALKER INC,11353,Latour Meursault AC Blanc,31.75,50.99,750,424,13462,397,25316.03,12420.05,44.2,55551.82,11854.03,46.82421,0.936320755,1.880554895
1273,CALEDONIA SPIRITS INC,3009,Barr Hill Vodka,43.99,54.99,750,306,13460.94,258,13729.42,11756.79,203.52,1319.77,268.48,1.95551,0.843137255,1.019945115
9815,WINE GROUP INC,8523,Glen Ellen Chard RSV,3.22,4.99,750,4180,13459.6,4201,20962.99,9640.68,468.12,27100.41,7503.39,35.79351,1.005023923,1.557474962
8352,LUXCO INC,2107,Rebel Yell Ginger Bourbon,0.74,0.99,50,18158,13436.92,11208,11095.92,3703.59,582,10261.6,-2341,-21.09784,0.617248596,0.825778527
4950,LATITUDE BEVERAGE COMPANY,20968,Ninety+Cellars Lot 113 B Red,5.8,8.99,750,2316,13432.8,2220,22827.8,14149.41,246.33,1610,9395,41.15596,0.958549223,1.699407421
8112,MOET HENNESSY USA INC,1808,Ardbeg 21 Yr Single Malt,373.13,499.99,750,36,13432.68,15,7499.85,3999.92,11.81,48347.26,-5932.83,-79.10598,0.416666667,0.558328643
10754,PERFECTA WINES,11089,Jaboulet Cts Rhone Parl Rose,6.86,11.99,750,1958,13431.88,3120,40776.8,21704.39,346.95,28720.52,27344.92,67.05999,1.593462717,3.035822238
8664,"STOLI GROUP,(USA) LLC",7956,Bayou Satsuma Rum Liqueur,0.79,0.99,50,16973,13408.67,10626,10519.74,4289.67,549.51,18544.49,-2888.93,-27.46199,0.626053143,0.78454761
8320,SHAW ROSS INT L IMP LTD,29427,Gekkeikan Sake Calif,45.26,66.99,18000,296,13396.96,290,19427.1,11924.22,783,3151.92,6030.14,31.03984,0.97972973,1.450112563
9165,ULTRA BEVERAGE COMPANY LLP,11367,Two Oceans WstrnCape Svgn Bl,6.07,9.99,750,2207,13396.49,2187,21002.13,12312.18,242.8,68054.7,7605.64,36.21366,0.990937925,1.567733787
4425,MARTIGNETTI COMPANIES,25502,Bouchaine Pnt Nr W Lindsay V,17,24.99,750,787,13379,678,16943.22,9721.11,75.3,144929.24,3564.22,21.03626,0.861499365,1.266404066
9744,FREDERICK WILDMAN & SONS,45601,Luigi Bosca Malbec,11.03,16.99,750,1211,13357.33,1210,20776.9,10952.64,134.49,3999.93,7419.57,35.71067,0.999174236,1.555468046
9744,FREDERICK WILDMAN & SONS,8231,Folonari Valpolicella,9.02,14.99,1500,1480,13349.6,1490,20209.1,15169.83,2342.21,3999.93,6859.5,33.94263,1.006756757,1.513835621
4425,MARTIGNETTI COMPANIES,11891,Penfolds Bin 389 Cab/Shiraz,39.73,64.99,750,336,13349.28,421,27000.79,7653.79,47.06,144929.24,13651.51,50.55967,1.25297619,2.022640172
